ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
115-04-4507|4218196001337|Jonathan|Johnson|M|863 Lawrence Valleys|Freeport|ME|04032|43.857|-70.1031|7879|Accounting technician|1973-10-03|888022315787|adults_50up_male_urban.json
715-55-5575|4351161559407816183|Edward|Fuller|M|310 Kendra Common Apt. 164|Chicago|IL|60638|41.7814|-87.7705|2680484|Professor Emeritus|1981-06-07|917558277935|adults_2550_male_urban.json
167-48-5821|4192832764832|Melinda|Cameron|F|05641 Robin Port|Reno|NV|89509|39.498|-119.8239|276896|International aid/development worker|1994-05-30|718172762479|adults_2550_female_urban.json
406-83-7518|4238849696532874|Brandon|Williams|M|26916 Carlson Mountain|Lady Lake|FL|32162|28.9471|-81.9971|74047|Seismic interpreter|1971-12-26|947268892251|adults_50up_male_urban.json
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Hermosa Beach|CA|90254|33.8643|-118.3955|19506|Medical laboratory scientific officer|1966-05-22|888335239225|adults_50up_male_urban.json
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|Los Angeles|CA|90011|34.0079|-118.2582|2383912|Community arts worker|1972-06-18|245877882397|adults_50up_female_urban.json
347-03-9639|213193010310510|Jose|Ramirez|M|82997 Kristen Valley Suite 311|Paris|TX|75462|33.6805|-95.4905|34942|Plant breeder/geneticist|1984-03-06|465378164447|adults_2550_male_urban.json
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Lancaster|PA|17601|40.0766|-76.3107|164596|Quarry manager|1981-12-27|950105810049|adults_2550_male_urban.json
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Lake|MI|48632|43.8575|-85.0219|5125|Retail buyer|2001-08-23|940251608167|young_adults_male_urban.json
162-08-8321|2222913619399092|Angela|Sandoval|F|3534 Anderson Rue Suite 751|Brownstown|IL|62418|38.9891|-88.9494|2133|Acupuncturist|1971-01-26|684868121383|adults_50up_female_rural.json
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|Lawton|OK|73505|34.6179|-98.4552|93591|Surgeon|1948-02-26|297020387114|adults_50up_male_urban.json
620-27-5618|4874016400529|Mark|Green|M|680 Charles Spurs Apt. 805|Nashville|TN|37209|36.1546|-86.8602|431336|Television floor manager|1971-08-02|161286867170|adults_50up_male_urban.json
131-06-5051|345331586923222|Sierra|Johnson|F|3421 Brennan Walks Suite 337|Malvern|PA|19355|40.0468|-75.531|24760|Maintenance engineer|1982-08-16|903253916954|adults_2550_female_urban.json
229-04-3165|6541458685014295|Tonya|Baker|F|655 Obrien Pass|Troutman|NC|28166|35.6863|-80.8822|8619|Commercial art gallery manager|1942-09-29|989496879843|adults_50up_female_urban.json
195-33-0728|3508835615951480|Ellen|Ortiz|F|482 Robert Light Apt. 994|Pinehurst|NC|28374|35.1884|-79.4732|15990|Optician, dispensing|1962-08-14|917181406434|adults_50up_female_urban.json
312-37-3444|6577738721489511|Sabrina|Potter|F|32003 Carr Trafficway Apt. 769|Sequim|WA|98382|48.0881|-123.1198|26856|Engineer, broadcasting (operations)|1964-01-06|767589450881|adults_50up_female_urban.json
507-52-3998|4163287083172781|William|Larson|M|868 Merritt Summit Suite 743|Indianapolis|IN|46203|39.743|-86.1179|910148|Health and safety inspector|1960-01-23|857987636625|adults_50up_male_urban.json
497-81-3920|4143455812236231660|Erin|Owens|F|66909 Woods Knoll|Boston|MA|02119|42.3231|-71.0846|386505|Hydrogeologist|1967-09-26|428437913341|adults_50up_female_urban.json
