ssn,cc_num,gender,state,zip,city_pop,job,acct_num,profile,trans_num,trans_time,category,amt,is_fraud,distance_km,age,trans_month,trans_day,is_weekend,trans_time_group
535472702,4198272606576824,1,GA-NC-SC,28217,790689,Transportation & Logistics Workers,185813831547,adults 2550 female urban,1ecc217ab8492865f9f03ea0d0c6037c,22,health_fitness,10.04,0,131.0,41.0,6,14,1,Night
894080219,30498900618026,0,IL-OH,44105,769341,Engineering & Technical Experts,680183003149,adults 2550 male urban,1f5042228156493861039712c8965fa1,20,health_fitness,100.13,0,63.0,42.0,6,19,0,Evening
343803207,4096677411473722879,1,TN-KY-AL-LA-MS-AR,42539,10026,Legal & Policy Professionals,692904836534,adults 50up female urban,db39e60e3c192e0c8e2e3a59ee9c1cb8,22,travel,80.55,0,64.0,79.0,12,30,0,Night
642331032,6011392339901501,1,CA,90035,2383912,Education & Research Professionals,830563888099,adults 50up female urban,9db5e5ca9e7ef7559ac7c4c6aabbe6cc,22,health_fitness,42.78,0,41.0,56.0,5,13,0,Night
262052459,3519007422404262,0,IL-OH,45103,31485,Psychology & Social Service Workers,611408841710,adults 50up male urban,8fe9f00f60ae86938e2eede7399060d8,9,food_dining,7.44,0,105.0,73.0,2,22,1,Day
141480167,4985049489724121377,1,IL-OH,43235,783285,Finance & Banking Professionals,456601870346,young adults female urban,e65bc359cf1668ab7947e756b604455a,23,food_dining,33.4,0,14.0,21.0,5,6,0,Night
711671692,3559263606809674,0,TN-KY-AL-LA-MS-AR,71107,228095,Transportation & Logistics Workers,149732497788,adults 50up male urban,53205bf51fcf783476f1048d87e16239,0,entertainment,54.39,0,49.0,79.0,1,24,0,Night
61873205,4023488363324650,0,AZ-NV-CO-UT,89147,1417793,Agriculture & Horticulture Workers,294374817931,adults 2550 male urban,11b0183360660965e5eb4c9a362e2110,16,kids_pets,135.59,0,91.0,39.0,10,11,1,Evening
525854186,180099969882905,0,CA,94117,805301,Media & Creative Professionals,97969165375,adults 2550 male urban,6426108ed2915a1d6fc5a222d60e2f3b,16,entertainment,45.41,0,102.0,30.0,2,24,0,Evening
48186973,4858183844725159,1,WA-OR,97086,26010,Legal & Policy Professionals,292631700297,adults 2550 female urban,02a71c14246acd24c581f85ead78a12c,16,kids_pets,13.91,0,73.0,23.0,9,26,1,Evening
124828740,3523375865243776,1,Low-Volume Mixed,83221,27021,Finance & Banking Professionals,528656279981,adults 2550 female urban,aced4f846924f38de9cb9ef90aafa7c2,22,home,3.57,0,55.0,38.0,8,1,1,Night
364973135,2720775455621567,1,CA,93313,520197,Psychology & Social Service Workers,393622618571,adults 2550 female urban,846648065cf88ae40fdd1ed2ed617566,21,entertainment,66.45,0,69.0,29.0,2,2,1,Evening
657702200,180095798023919,0,NY,13088,52280,Medical & Healthcare Specialists,460832003299,young adults male urban,e2ca30bb97dc253ca20923675d4d1722,21,travel,6.95,0,67.0,22.0,12,27,1,Evening
45229437,4287452272156620,0,IL-OH,44124,769341,IT & Technology Specialists,841929167290,adults 2550 male urban,e4993e73ddf276ef1b4a31a69b46c9e2,14,health_fitness,5.08,0,95.0,29.0,6,20,1,Day
581435959,3558216745331035,0,CA,90706,76615,Education & Research Professionals,664507811229,young adults male urban,e28538c8bdad30c7bbf2bd79664eb9d2,20,entertainment,1.55,0,87.0,16.0,3,2,0,Evening
710448155,180090385801082,0,GA-NC-SC,30161,75049,Science & Environmental Specialists,376785591476,adults 50up male urban,62044270405e118c5882b7ef0900f447,23,kids_pets,11.45,0,41.0,55.0,10,11,1,Night
437060397,4902139328836989626,1,TX,79938,749635,Science & Environmental Specialists,507080954926,adults 2550 female urban,bf355ed714372815a5bbb25e6511c437,12,kids_pets,29.95,0,131.0,34.0,9,27,1,Day
